BILL_ID|CLASS_NAME
1002_J4857_4857025685_08122015|Baby Diaper
1002_J4857_4857025807_09122015|Baby Diaper
1002_J4857_4857026314_11122015|Baby Diaper
1002_J4857_4857026371_12122015|Baby Diaper
1002_J4857_4857027085_15122015|Baby Diaper
1002_J4857_4857027443_16122015|Baby Diaper
1002_J4857_4857027514_17122015|Baby Diaper
1002_J4857_4857027759_18122015|Baby Diaper
1002_J4857_4857027916_19122015|Baby Diaper
1002_J4857_4857028014_19122015|Baby Diaper
1002_J4857_4857028271_20122015|Baby Diaper
1002_J4857_4857028379_21122015|Baby Diaper
1002_J4857_4857028402_21122015|Baby Diaper
1002_J4857_4857029021_24122015|Baby Diaper
1002_J4857_4857029246_25122015|Baby Diaper
1002_J4857_4857030268_30122015|Baby Diaper
1002_J4857_4857030296_30122015|Baby Diaper
1002_J4857_4857030344_31122015|Baby Diaper
1002_J4857_4857030427_31122015|Baby Diaper
1002_J4857_4857030448_31122015|Baby Diaper
1002_J3591_3591060781_01122015|Baby Hygiene
1002_J3591_3591060842_02122015|Baby Hygiene
1002_J3591_3591061470_06122015|Baby Hygiene
1002_J3591_3591061558_07122015|Baby Hygiene
1002_J3591_3591061573_07122015|Baby Hygiene
1002_J3591_3591061603_07122015|Baby Hygiene
1002_J3591_3591061929_09122015|Baby Hygiene
1002_J3591_3591061943_09122015|Baby Hygiene
1002_J3591_3591062176_11122015|Baby Hygiene
1002_J3591_3591062372_13122015|Baby Hygiene
1002_J3591_3591062400_13122015|Baby Hygiene
1002_J3591_3591063036_19122015|Baby Hygiene
1002_J3591_3591063037_19122015|Baby Hygiene
1002_J3591_3591063144_20122015|Baby Hygiene
1002_J3591_3591063526_24122015|Baby Hygiene
1002_J4857_4857024564_02122015|Baby Hygiene
1002_J4857_4857025078_05122015|Baby Hygiene
1002_J4857_4857025374_06122015|Baby Hygiene
1002_J4857_4857025413_06122015|Baby Hygiene
1002_J4857_4857025424_06122015|Baby Hygiene
1002_J4857_4857025545_07122015|Baby Hygiene
1002_J4857_4857025729_08122015|Baby Hygiene
1002_J4857_4857025862_09122015|Baby Hygiene
1002_J4857_4857026117_10122015|Baby Hygiene
1002_J4857_4857027346_16122015|Baby Hygiene
1002_J4857_4857027753_18122015|Baby Hygiene
1002_J4857_4857027848_19122015|Baby Hygiene
1002_J4857_4857028011_19122015|Baby Hygiene
1002_J4857_4857028051_20122015|Baby Hygiene
1002_J4857_4857028804_23122015|Baby Hygiene
1002_J4857_4857028992_24122015|Baby Hygiene
1002_J4857_4857029002_24122015|Baby Hygiene
1002_J4857_4857029275_26122015|Baby Hygiene
1002_J4857_4857029908_28122015|Baby Hygiene
1002_J4857_4857030004_29122015|Baby Hygiene
1002_J3591_3591063271_22122015|Baby Wipe
1002_J3591_3591064213_30122015|Baby Wipe
1002_J4857_4857024413_01122015|Baby Wipe
1002_J4857_4857025335_06122015|Baby Wipe
1002_J4857_4857026628_13122015|Baby Wipe
1002_J4857_4857027310_16122015|Baby Wipe
1002_J4857_4857028379_21122015|Baby Wipe
1002_J4857_4857029320_26122015|Baby Wipe
1002_J3591_3591061096_04122015|Bathroom Accessories
1002_J3591_3591061210_04122015|Bathroom Accessories
1002_J3591_3591061943_09122015|Bathroom Accessories
1002_J3591_3591062311_13122015|Bathroom Accessories
1002_J3591_3591062692_17122015|Bathroom Accessories
1002_J3591_3591062993_19122015|Bathroom Accessories
1002_J4857_4857028119_20122015|Bathroom Accessories
1002_J4857_4857028272_20122015|Bathroom Accessories
1002_J4857_4857029394_26122015|Bathroom Accessories
1002_J4857_4857029874_28122015|Bathroom Accessories
1002_J3591_3591061076_03122015|Batter
1002_J3591_3591061227_04122015|Batter
1002_J3591_3591061381_06122015|Batter
1002_J3591_3591061720_08122015|Batter
1002_J3591_3591061729_08122015|Batter
1002_J3591_3591061774_08122015|Batter
1002_J3591_3591062136_11122015|Batter
1002_J3591_3591062356_13122015|Batter
1002_J3591_3591062397_13122015|Batter
1002_J3591_3591062425_13122015|Batter
1002_J3591_3591062435_13122015|Batter
1002_J3591_3591062516_14122015|Batter
1002_J3591_3591062789_18122015|Batter
1002_J3591_3591063021_19122015|Batter
1002_J3591_3591063032_19122015|Batter
1002_J3591_3591063244_21122015|Batter
1002_J3591_3591063349_22122015|Batter
